1.111652	-0.015932	-0.037550	0.964063	0.015039	-0.030080	1.024339	0.007071	-0.041643	1.030831	0.002132	-0.030887	
-0.015932	1.167528	-0.084924	-0.012272	1.044447	-0.064722	0.005230	1.105751	-0.073133	-0.027168	1.088130	-0.072432	
-0.037550	-0.084924	1.199046	-0.043270	-0.042900	1.032636	-0.038027	-0.067543	1.094178	-0.038681	-0.059729	1.119900	
0.964063	-0.012272	-0.043270	1.122224	0.026185	-0.045765	1.005587	0.005990	-0.050562	1.057266	0.019059	-0.047524	
0.015039	1.044447	-0.042900	0.026185	1.226581	-0.031307	0.033162	1.112024	-0.030195	0.011077	1.136351	-0.041520	
-0.030080	-0.064722	1.032636	-0.045765	-0.031307	1.184222	-0.043622	-0.056684	1.078389	-0.032112	-0.047994	1.115010	
1.024339	0.005230	-0.038027	1.005587	0.033162	-0.043622	1.085103	0.025227	-0.049252	0.958283	0.025481	-0.039353	
0.007071	1.105751	-0.067543	0.005990	1.112024	-0.056684	0.025227	1.195018	-0.057457	-0.010616	1.042313	-0.064840	
-0.041643	-0.073133	1.094178	-0.050562	-0.030195	1.078389	-0.049252	-0.057457	1.155666	-0.037735	-0.048734	1.035508	
1.030831	-0.027168	-0.038681	1.057266	0.011077	-0.032112	0.958283	-0.010616	-0.037735	1.148137	0.002718	-0.039274	
0.002132	1.088130	-0.059729	0.019059	1.136351	-0.047994	0.025481	1.042313	-0.048734	0.002718	1.198475	-0.054167	
-0.030887	-0.072432	1.119900	-0.047524	-0.041520	1.115010	-0.039353	-0.064840	1.035508	-0.039274	-0.054167	1.219089	
